workflow,footprint,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-1,19366.356753579155,10.8%:17274.36471181063:0.0,29.9%:13569.515075146193:0.0,56.1%:8496.53373487131:0.0,62.7%:7222.94825237756:0.0,64.2%:6931.541635990754:764.0
chipseq-2,19694.64653695791,6.4%:18439.642283529425:560.0,17.4%:16270.651292208822:0.0,50.4%:9760.152664762118:0.0,60.0%:7869.4004899387955:560.0,64.7%:6943.30041617263:560.0
chipseq-3,19098.335946757365,3.0%:18523.702051709486:0.0,5.6%:18028.909212647697:866.0,40.6%:11337.203548692045:0.0,58.3%:7965.774669992369:844.0,63.5%:6970.369053569788:866.0
rangeland-1,2717.0762123903346,11.9%:2392.978920455931:0.0,11.9%:2392.978920455931:0.0,18.4%:2217.343755927308:777.0,29.1%:1927.1067909179683:307.0,37.6%:1694.5964723861061:180.0
rangeland-2,5862.07965598601,29.2%:4150.93264174334:243.0,47.5%:3077.427939465909:278.0,47.5%:3077.427939465909:278.0,50.1%:2926.5963568464053:448.0,76.5%:1377.2748087245243:448.0
rangeland-3,3201.724913508449,11.3%:2840.9601587319326:826.0,30.2%:2235.594989908232:377.0,30.2%:2235.594989908232:377.0,46.3%:1719.6009497636321:240.0,55.5%:1424.5180732728254:377.0
