workflow,footprint,flexible-6h,flexible-12h,flexible-24h,flexible-48h,flexible-96h
chipseq-1,28455.582376160924,5.1%:27002.720359097806:2622.0,10.8%:25368.963933053532:2360.0,10.9%:25348.57524414369:2360.0,64.5%:10098.673502612444:0.0,64.5%:10098.673502612444:0.0
chipseq-2,27944.726158497193,8.2%:25660.825338613085:0.0,8.5%:25571.655434584958:3294.0,8.6%:25529.69896052233:3294.0,25.3%:20882.216918351525:1564.0,64.8%:9841.058446863508:0.0
chipseq-3,26445.862067967766,2.8%:25699.709829867374:1710.0,2.8%:25699.709829867374:1710.0,5.0%:25124.784723471967:0.0,6.4%:24752.780964074278:1710.0,71.8%:7451.205505807569:844.0
rangeland-1,9822.141923089068,2.3%:9600.823079490101:180.0,3.4%:9492.798168075786:770.0,4.6%:9367.755399038026:1129.0,10.3%:8810.081003165249:528.0,29.0%:6971.9275101686235:307.0
rangeland-2,9966.644002428313,6.4%:9325.184282993883:702.0,7.0%:9268.971186638002:1150.0,8.0%:9165.440112556824:871.0,8.7%:9095.704185251676:1205.0,42.6%:5722.3425278190925:628.0
rangeland-3,10436.09273160307,9.1%:9487.44466679939:617.0,9.7%:9424.167293447492:1066.0,10.0%:9394.021571662446:763.0,22.1%:8134.573193886467:701.0,84.7%:1601.1620297101913:722.0
